board_state,macroboard,current_player,valid_moves,chosen_move,game_result,agent_level,move_number,final_result
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,1,1,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",1,"22,23,24,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,56,57,58,59,60,61,62,66,67,68,69,70,71,76,77,78,79,80",36,-1,Random,32,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",-1,"22,23,24,38,39,40,41,42,43,44,46,47,48,49,50,51,52,56,57,58,59,60,61,62,66,67,68,69,70,71,76,77,78,79,80",24,-1,Easy,33,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0","1,1,-1,-1,0,0,0,0,0",1,"56,57,58,59,60,61,62",58,-1,Random,34,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0","1,1,-1,-1,0,0,0,0,0",-1,"38,39,40,41,42,43,44",38,-1,Easy,35,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0","1,1,-1,-1,0,0,0,0,0",1,"39,40,41,42,43,44,46,47,48,49,50,51,52,56,57,59,60,61,62,66,67,68,69,70,71,76,77,78,79,80",71,-1,Random,36,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,1,-1,1,-1,-1,0,0,0,0,0","1,1,-1,-1,0,0,0,0,0",-1,"76,77,78,79,80",78,-1,Easy,37,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,0,0,-1,-1,1,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0","1,1,-1,-1,0,0,0,0,-1",1,"56,57,59,60,61,62",57,-1,Random,38,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,1,1,0,0,0,0,-1,-1,1,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0","1,1,-1,-1,0,0,0,0,-1",-1,"39,40,41,42,43,44,46,47,48,49,50,51,52,56,59,60,61,62,66,67,68,69,70",56,-1,Easy,39,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,0,-1,-1,1,0,0,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0","1,1,-1,-1,0,0,-1,0,-1",1,"39,40,41,42,43,44,46,47,48,49,50,51,52,66,67,68,69,70",67,-1,Random,40,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,0,-1,-1,1,0,1,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0","1,1,-1,-1,0,0,-1,0,-1",-1,"39,40,41,42,43,44",39,-1,Easy,41,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,0,-1,-1,1,0,1,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0","1,1,-1,-1,0,0,-1,0,-1",1,"40,41,42,43,44,46,47,48,49,50,51,52,66,68,69,70",46,-1,Random,42,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,1,0,0,1,1,-1,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,-1,-1,-1,1,1,0,0,0,0,-1,-1,1,0,1,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0","1,1,-1,-1,0,0,-1,0,-1",-1,"40,41,42,43,44,47,48,49,50,51,52,66,68,69,70",40,-1,Easy,43,1
