Date,Time,Agent_X_Type,Agent_O_Type,Winner,Num_Moves,Game_Duration_Seconds,Final_Board_State
2025-04-19,17:52:45,Easy,Medium,O,26,1.05,XOOOOO   XOXXO  O XOXOOO   XXO      XXX      X                 X                 
2025-04-19,17:52:46,Random,Medium,O,44,0.92,XOX X X OOX  OXXXOO    OXX  O  X X  OOXXOX XOXX OOO     OOOO   OOO    X X   XX   
2025-04-19,17:53:09,MCTS,Random,X,45,23.08,  X XO   OO XXX X  O XXXXO  OOOO OXOXOO XO  X XXXO  O  X  X OX   OXOOOX   OX     
2025-04-19,17:53:53,Hard,Hard,X,53,44.52,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,17:53:54,Random,Medium,O,40,0.8, X  X  X  OX  X XX  OOX   X  XXOO  XOXOXOXX XOO     XX O  O XO OO O  O     OOO   
2025-04-19,17:59:20,Hard,Random,X,39,26.28,XO X OXOOXXX O OO   OXXXOO  OOXO  O   XOX XO X O        XXO  O XXX       X       
2025-04-19,17:59:42,MCTS,Medium,O,42,21.67, XO X  X X OX  X  XOX XXO OOOO  XXX OO O XO XO  O XO   XOOX  X O   O   O  X XO   
2025-04-19,17:59:53,MCTS,Easy,X,21,11.1,  X  X  X    X XXXO X X X           OO       OO       OO   X   O        OO       
2025-04-19,18:00:37,Hard,Hard,X,53,44.48,XOOOOO   XOXXO  O XOXOOX XXXXOOXXXOOXXX      X OX OX     OOO   OOXXOOXX OX OX  X 
2025-04-19,18:00:57,Medium,MCTS,O,38,19.89,XOO OO O XOOX     XXXO  O  XXXO O     O OXO  X   X OOX   XXX   X   X   X   OOO   
2025-04-19,18:01:28,MCTS,Hard,X,43,31.13,O OXXXO X  X  X XX O XXX   X OX  XOX O OO  OXOOO       XXOX OO  O O  XXXO  O  O  
2025-04-19,18:01:43,Hard,Random,Draw,61,14.79,XXO XOOOOO X OOXXXXOXXOOOXOXOXOOXOXOO XXXOX OXXX      XXXXO  OOXOOOO OXO  X X X  
